1.65546,103.57218
1.65432,103.57548
1.65357,103.57617
1.65145,103.57810
1.65098,103.57994
1.65383,103.58220
1.65840,103.57856
1.66058,103.57558
1.66293,103.57761
1.66754,103.57662
1.66902,103.58265
1.66816,103.58811
1.66663,103.59154
1.66446,103.59636
1.66244,103.59889
1.66127,103.60342
1.65418,103.60964
1.65084,103.61139
1.64523,103.61648
1.63972,103.62463
1.63567,103.62992
1.63280,103.63343
1.62876,103.63789
1.62024,103.64604
1.60130,103.64500
1.59658,103.64547
1.59093,103.64785
1.57098,103.66076
1.54441,103.65775
1.54133,103.65944
1.52805,103.67093
1.52337,103.67904
1.51918,103.68201
1.51476,103.68523
1.51203,103.68697
1.50875,103.68918
1.50073,103.69594
1.49871,103.69880
1.49688,103.70172
1.49370,103.70629
1.48954,103.71211
1.47500,103.72476
1.46310,103.73151
1.45940,103.73866
1.45740,103.74665
1.45660,103.74935
1.45535,103.76182
1.46343,103.76481
